time,OD600,medium
0,0.09525650537497386,glucose
1,0.08839535132042724,glucose
2,0.08692046437061872,glucose
3,0.09128852369795146,glucose
4,0.10230575270742728,glucose
5,0.1208797610221374,glucose
6,0.12619342750974288,glucose
7,0.15786063968229797,glucose
8,0.18906666939747108,glucose
9,0.23437587715506183,glucose
10,0.2876463536217213,glucose
11,0.36060208772619545,glucose
12,0.42725790127824387,glucose
13,0.486007322846914,glucose
14,0.5320810075147273,glucose
15,0.567852693717098,glucose
16,0.5892636364506598,glucose
17,0.6121880774597575,glucose
18,0.6137294561299566,glucose
19,0.6187528513637255,glucose
20,0.6243190976082983,glucose
21,0.6282359762274808,glucose
22,0.6345800339105419,glucose
23,0.6229050431731836,glucose
24,0.630267483519488,glucose
0,0.08737500134352358,lactose
1,0.08538262884294327,lactose
2,0.09744336213630501,lactose
3,0.09532278103504521,lactose
4,0.09948619923117835,lactose
5,0.11087081596429765,lactose
6,0.12031293894087997,lactose
7,0.12620064606122214,lactose
8,0.1537423890944636,lactose
9,0.1872623130234721,lactose
10,0.21901409444021572,lactose
11,0.26889855990689615,lactose
12,0.30383589026512836,lactose
13,0.35367672350496304,lactose
14,0.3887887714970084,lactose
15,0.42075419112967255,lactose
16,0.42625049232542545,lactose
17,0.4454177436776821,lactose
18,0.44608040403855764,lactose
19,0.45630287035270395,lactose
20,0.45421103655324657,lactose
21,0.452682650735892,lactose
22,0.46218920305096467,lactose
23,0.4622374339567991,lactose
24,0.46062863220376554,lactose
0,0.0908016990854814,control
1,0.09116592321761488,control
2,0.09237273415996,control
3,0.08933870716397095,control
4,0.08923199101023785,control
5,0.09065045875836514,control
6,0.08687103857324405,control
7,0.08198397824832006,control
8,0.08641069926957805,control
9,0.08394897727961385,control
10,0.08002602333916152,control
11,0.07334389353007752,control
12,0.07611189328917858,control
13,0.07628670313619229,control
14,0.07387670076076487,control
15,0.06516839093706069,control
16,0.06433093953513414,control
17,0.06482308248354414,control
18,0.07506959287222222,control
19,0.06955921031566203,control
20,0.05901026866868054,control
21,0.06578077660982551,control
22,0.07158799300402252,control
23,0.06971156586839704,control
24,0.06075170358575923,control
