time,OD600,medium
0,0.09674899869927635,glucose
1,0.10254072078470816,glucose
2,0.09594175169369781,glucose
3,0.10643366094894835,glucose
4,0.11123255897783844,glucose
5,0.11988988598716019,glucose
6,0.12734789105329788,glucose
7,0.16273250820093665,glucose
8,0.1959263463030991,glucose
9,0.23585900390965595,glucose
10,0.29530562086694995,glucose
11,0.36406588531829587,glucose
12,0.4306657562425893,glucose
13,0.48521921138887286,glucose
14,0.5369916292059831,glucose
15,0.5692190154047342,glucose
16,0.5965095148745261,glucose
17,0.6115439621765304,glucose
18,0.6151401095495971,glucose
19,0.6167502708755156,glucose
20,0.6238796696837415,glucose
21,0.6252914275121256,glucose
22,0.6392323019090576,glucose
23,0.6288295293364441,glucose
24,0.6397311012057582,glucose
0,0.08747904329829308,lactose
1,0.0985086462819817,lactose
2,0.09443934911755987,lactose
3,0.09627964240015033,lactose
4,0.09711963631250982,lactose
5,0.10311975704384398,lactose
6,0.10908247653270149,lactose
7,0.13452776302234784,lactose
8,0.15633019673143245,lactose
9,0.17681000167894836,lactose
10,0.21014311659719087,lactose
11,0.2552782509805775,lactose
12,0.3050536041438262,lactose
13,0.3341725892304309,lactose
14,0.3602905374574,lactose
15,0.3897488646587897,lactose
16,0.3974477792851839,lactose
17,0.4055751645831501,lactose
18,0.4196635665548206,lactose
19,0.4262292159124268,lactose
20,0.4176801525262949,lactose
21,0.4243304066820159,lactose
22,0.41395526648262065,lactose
23,0.4265415923195091,lactose
24,0.4294284643575785,lactose
0,0.0930743148677381,control
1,0.09468082139016643,control
2,0.09317137335497934,control
3,0.09701010983749912,control
4,0.08035561639499478,control
5,0.0787502178567416,control
6,0.08987078288311826,control
7,0.09385931214793836,control
8,0.08572124873232703,control
9,0.0856443829747727,control
10,0.08193542415167165,control
11,0.08278328205459184,control
12,0.07077229767138947,control
13,0.07204922859750423,control
14,0.06248791413825733,control
15,0.05412827968083897,control
16,0.0568116923738086,control
17,0.05859963284867861,control
18,0.05128514256709579,control
19,0.04989063196240531,control
20,0.06325308024510021,control
21,0.052987616623625826,control
22,0.053617905375704815,control
23,0.05850985620750452,control
24,0.05899587129447517,control
