time,OD600,medium
0,0.09816844097677274,glucose
1,0.08812401516907299,glucose
2,0.09179889350472692,glucose
3,0.10488999221857206,glucose
4,0.11086436162499012,glucose
5,0.10562952150459044,glucose
6,0.13172692498762184,glucose
7,0.16104730331614137,glucose
8,0.19489941845585454,glucose
9,0.24111294579029732,glucose
10,0.2955317899206236,glucose
11,0.36646065994595867,glucose
12,0.43086169977734007,glucose
13,0.48331761178783,glucose
14,0.5303680450023139,glucose
15,0.5574892809647524,glucose
16,0.5858932582282654,glucose
17,0.6099351261876816,glucose
18,0.6054326105476009,glucose
19,0.6105777784240192,glucose
20,0.6170908958215549,glucose
21,0.6219958105852287,glucose
22,0.6174864815612984,glucose
23,0.622867602363147,glucose
24,0.6213442638008091,glucose
0,0.0937286981004999,lactose
1,0.09696218045118181,lactose
2,0.10137454365549331,lactose
3,0.09835819645205854,lactose
4,0.10225700846350258,lactose
5,0.09976608149527603,lactose
6,0.12116809951381036,lactose
7,0.1311126707841353,lactose
8,0.14952919356235594,lactose
9,0.17832344246834383,lactose
10,0.2178188446002529,lactose
11,0.2703063816204612,lactose
12,0.3047461931479827,lactose
13,0.33460353319530506,lactose
14,0.37311622053274346,lactose
15,0.39631738843832887,lactose
16,0.41085817983487927,lactose
17,0.4216903420015464,lactose
18,0.42604916766081574,lactose
19,0.42458907401519697,lactose
20,0.43154226872942447,lactose
21,0.43000091952839126,lactose
22,0.4397470530954286,lactose
23,0.43092432378096873,lactose
24,0.4377214829821175,lactose
0,0.09192405254677573,control
1,0.08960408474887187,control
2,0.08429698459409675,control
3,0.09693831505694527,control
4,0.08494259306587791,control
5,0.08774248537293855,control
6,0.08857599074961556,control
7,0.09293222592478707,control
8,0.08765458658208791,control
9,0.09180053809046991,control
10,0.0870527706795489,control
11,0.09932551784957441,control
12,0.09228935821766865,control
13,0.08671242607175944,control
14,0.08578900118903088,control
15,0.09040960602011813,control
16,0.09485032007429353,control
17,0.09005732210957489,control
18,0.09492140932133825,control
19,0.08755665848516396,control
20,0.08988035588520113,control
21,0.09221142557606915,control
22,0.10147613816177486,control
23,0.09284347282880057,control
24,0.09310748450144862,control
