time,OD600,medium
0,0.09610981078870164,glucose
1,0.09093126091307625,glucose
2,0.09155283437937106,glucose
3,0.10662897864023514,glucose
4,0.11006097566693071,glucose
5,0.11246032738150755,glucose
6,0.1338751570979673,glucose
7,0.1640579011176266,glucose
8,0.18868899778422663,glucose
9,0.24213777461993363,glucose
10,0.30257102328012514,glucose
11,0.37608143965545476,glucose
12,0.4305291807532687,glucose
13,0.4921922599214679,glucose
14,0.531847707058372,glucose
15,0.5650825566174011,glucose
16,0.5856163688656977,glucose
17,0.6041434906669105,glucose
18,0.6178085587698326,glucose
19,0.6202729111970952,glucose
20,0.6228627177293189,glucose
21,0.6184808932670818,glucose
22,0.6137710027583039,glucose
23,0.6206606028519831,glucose
24,0.6234237506334345,glucose
0,0.0976570302742283,lactose
1,0.09684484482715301,lactose
2,0.10053408594361801,lactose
3,0.10204422287898789,lactose
4,0.09696262018652027,lactose
5,0.1066001743154292,lactose
6,0.11974710712874838,lactose
7,0.13480045134420718,lactose
8,0.16531763451965392,lactose
9,0.18738994216806987,lactose
10,0.22919076567028768,lactose
11,0.27233294952475157,lactose
12,0.3173673280496198,lactose
13,0.3495260960771536,lactose
14,0.37812942538069827,lactose
15,0.42061493213284973,lactose
16,0.4340328440807584,lactose
17,0.4340047955764459,lactose
18,0.45721162318926706,lactose
19,0.44258687473318536,lactose
20,0.4542033668720492,lactose
21,0.4499577394461192,lactose
22,0.46676656494793356,lactose
23,0.4541702616637614,lactose
24,0.4560721079339891,lactose
0,0.09636529650241002,control
1,0.0885929253097591,control
2,0.08449073111049597,control
3,0.08554519555564771,control
4,0.09132150673721903,control
5,0.09740642250641791,control
6,0.09428807527371057,control
7,0.09775625392692783,control
8,0.09550974217215046,control
9,0.09941608919742313,control
10,0.10072608232383985,control
11,0.11023480787189721,control
12,0.10541234390290871,control
13,0.09823046177760852,control
14,0.11879461362614194,control
15,0.1132619888387729,control
16,0.1073323940297124,control
17,0.10852278327758205,control
18,0.11914094678112241,control
19,0.12075235122373441,control
20,0.10607558052585814,control
21,0.1161444316901177,control
22,0.1173438794205764,control
23,0.11785593019455723,control
24,0.10850184353313413,control
