time,OD600,medium
0,0.09099487917317894,glucose
1,0.09363304567678854,glucose
2,0.0848761812327012,glucose
3,0.10577382677780459,glucose
4,0.10619774811253334,glucose
5,0.11665238973806936,glucose
6,0.13507185385332635,glucose
7,0.16003598843543246,glucose
8,0.205577561026542,glucose
9,0.24141980070075642,glucose
10,0.3079622575805309,glucose
11,0.3849995430516621,glucose
12,0.44404590319759546,glucose
13,0.5070956471090553,glucose
14,0.5544774901310695,glucose
15,0.5815731616685423,glucose
16,0.6304511342767702,glucose
17,0.6319336557829072,glucose
18,0.6381042345256162,glucose
19,0.6565716858627468,glucose
20,0.6473408009841667,glucose
21,0.6613757792447342,glucose
22,0.652332541011909,glucose
23,0.6585213461979219,glucose
24,0.6622757164262045,glucose
0,0.08901708959609805,lactose
1,0.09864327338395285,lactose
2,0.0921473302407169,lactose
3,0.09035381218441108,lactose
4,0.0940791949809806,lactose
5,0.1025564789899818,lactose
6,0.11101332888627727,lactose
7,0.13031793298502586,lactose
8,0.14533652977840467,lactose
9,0.1613533440153726,lactose
10,0.19534163990113926,lactose
11,0.23384092790428598,lactose
12,0.27037108757630895,lactose
13,0.3107274521202582,lactose
14,0.3327912183631235,lactose
15,0.3420044624580135,lactose
16,0.3659904794328868,lactose
17,0.36591054686828317,lactose
18,0.37362514041475275,lactose
19,0.38632637891802357,lactose
20,0.38146208897038875,lactose
21,0.3824554126411817,lactose
22,0.3724304440947272,lactose
23,0.37776293092503077,lactose
24,0.37713848404176403,lactose
0,0.09702203421567096,control
1,0.09131907305203497,control
2,0.08925182776893417,control
3,0.0882747759327734,control
4,0.0973919346682458,control
5,0.09214017316189034,control
6,0.0947222193766313,control
7,0.09209368252207913,control
8,0.09111343048150655,control
9,0.08823839985801431,control
10,0.10312138737713888,control
11,0.09377967135117664,control
12,0.10551806734634367,control
13,0.10087940558857034,control
14,0.09555626908402746,control
15,0.10753941724852056,control
16,0.10486478239422173,control
17,0.10815083619367426,control
18,0.11121316843409956,control
19,0.1166690500997141,control
20,0.11440133365924504,control
21,0.11453453572763432,control
22,0.10233610573197907,control
23,0.1153852055998322,control
24,0.108575038461161,control
