time,OD600,medium
0,0.08609464444044947,glucose
1,0.09730731095075557,glucose
2,0.10026945181145412,glucose
3,0.09223058078327445,glucose
4,0.11040654506666822,glucose
5,0.11193136035118523,glucose
6,0.127431338330832,glucose
7,0.15674154201515936,glucose
8,0.18646997925661837,glucose
9,0.2377957691240167,glucose
10,0.30709879450412764,glucose
11,0.3819895789018652,glucose
12,0.4467072248649391,glucose
13,0.5051824740883117,glucose
14,0.5652773141986923,glucose
15,0.5995482667446398,glucose
16,0.6135050973069511,glucose
17,0.6412064875138718,glucose
18,0.6521555482691518,glucose
19,0.6508749200827605,glucose
20,0.6543846804935093,glucose
21,0.6516381257070338,glucose
22,0.6650504348557036,glucose
23,0.6701987017071156,glucose
24,0.6705384483965349,glucose
0,0.08661624093288461,lactose
1,0.0967274130297218,lactose
2,0.09232449816887406,lactose
3,0.09757131088956893,lactose
4,0.09192423984444185,lactose
5,0.1074044571164694,lactose
6,0.11099028714343043,lactose
7,0.1333305453683812,lactose
8,0.14552443704938992,lactose
9,0.17064358718392436,lactose
10,0.21735701794269124,lactose
11,0.2503333097200446,lactose
12,0.2915496915307359,lactose
13,0.3158312276807976,lactose
14,0.3450159355558006,lactose
15,0.3668019484917293,lactose
16,0.37108419216333377,lactose
17,0.400736659523771,lactose
18,0.39704811292531694,lactose
19,0.40531810542430247,lactose
20,0.39685463060540427,lactose
21,0.4059123533069328,lactose
22,0.40273745640948205,lactose
23,0.4048432541518349,lactose
24,0.40154117257982685,lactose
0,0.09015463892950436,control
1,0.08920691343396946,control
2,0.08931428295126946,control
3,0.08501531450895525,control
4,0.08661464779371496,control
5,0.08893467889141113,control
6,0.0988202664695374,control
7,0.09563866848195483,control
8,0.08665756441948409,control
9,0.08814653464203802,control
10,0.08352112805130833,control
11,0.08030577801029544,control
12,0.07975796421340056,control
13,0.07634098410238545,control
14,0.07375818665497258,control
15,0.06425491338437925,control
16,0.07311111294060506,control
17,0.06207637053263044,control
18,0.06945338963741919,control
19,0.07269228185377341,control
20,0.06845268517730072,control
21,0.07262009668150887,control
22,0.07431530758144331,control
23,0.06929288971858512,control
24,0.07103090569744527,control
