time,OD600,medium
0,0.09553239954375503,glucose
1,0.10492126440858117,glucose
2,0.10380862053701695,glucose
3,0.10019509990363495,glucose
4,0.10504852799218528,glucose
5,0.12073343360718394,glucose
6,0.1340411989804486,glucose
7,0.16355398921838066,glucose
8,0.18177911884077555,glucose
9,0.23342516364359178,glucose
10,0.2888686126453547,glucose
11,0.3599976271608506,glucose
12,0.4213457343674285,glucose
13,0.4851680759222221,glucose
14,0.5233548522946557,glucose
15,0.5636386784992404,glucose
16,0.5942198039217034,glucose
17,0.6050846721361279,glucose
18,0.616452268968155,glucose
19,0.6222917441816982,glucose
20,0.6219178645250804,glucose
21,0.6279676735712689,glucose
22,0.632537754124784,glucose
23,0.6362174102128878,glucose
24,0.6365405511272433,glucose
0,0.09908329840450984,lactose
1,0.09435160750551912,lactose
2,0.10075548563521418,lactose
3,0.09560709161552863,lactose
4,0.09983011495156992,lactose
5,0.11208079483936674,lactose
6,0.12248474456572848,lactose
7,0.13250638585401212,lactose
8,0.15152996584557582,lactose
9,0.1848346372189772,lactose
10,0.21998608402065004,lactose
11,0.2677453396919587,lactose
12,0.29778224574649426,lactose
13,0.32572191358954383,lactose
14,0.3621893506605159,lactose
15,0.38992040670535955,lactose
16,0.38939895017926596,lactose
17,0.40379542445834227,lactose
18,0.4084114715264187,lactose
19,0.41278404988605777,lactose
20,0.42175247358720674,lactose
21,0.4119183442343255,lactose
22,0.4135448260750618,lactose
23,0.42829030856695904,lactose
24,0.42499574168820153,lactose
0,0.0882109185511115,control
1,0.08944156492308508,control
2,0.09290261320701472,control
3,0.09629891392522495,control
4,0.09468569400659113,control
5,0.08659384493752473,control
6,0.09217536137605577,control
7,0.08626711318831529,control
8,0.08717089161091982,control
9,0.09285839076114408,control
10,0.09193983476664226,control
11,0.08168590675238567,control
12,0.0789902234935379,control
13,0.08549850371125789,control
14,0.07926576320713218,control
15,0.07803237207698162,control
16,0.09256371200717947,control
17,0.08304603227298682,control
18,0.08227893544127413,control
19,0.07803618808174903,control
20,0.08072213520254952,control
21,0.08376734470663467,control
22,0.08393449252890349,control
23,0.0745835483181148,control
24,0.0817414794899161,control
